400
150
[273.1748038257283 155.48551577230558]
[272.30117446954364 153.68641273245146]
[271.2848568333825 151.96388596562667]
[270.2738087787943 150.23826091037466]
[306.8823520202665 486.3133957341778]
[305.3173538682458 487.55869922496686]
[303.7650373251136 488.81977549146234]
[302.3249704767049 490.20765425854324]
[300.7863625226459 491.48542010708763]
[299.321734153077 492.84735393038954]
[297.7817037738509 494.1234050387159]
[296.2798826361347 495.44421284847044]
[294.7081068531027 496.6809508513936]
[293.1854543503884 497.9776888187479]
[291.66404846947233 499.2758891675054]
[290.2310139325503 500.67102787601743]
[288.7248998413533 501.98693833813024]
[287.1337824903764 503.19869143815527]
[285.4742396983651 504.31489828345025]
[283.87322148754293 505.51353946771496]
[282.2168909963015 506.6345074885719]
[280.4929942147738 507.648499543096]
[278.71378065594814 508.5619540368127]
[276.99108055462096 509.5779778361833]
[275.2585366963038 510.57712336062275]
[277.2384315031798 510.2942513865685]
[279.2260429400206 510.07198853285786]
[281.22099238621064 509.929943796433]
[283.21231325981245 509.74382238885744]
[285.21031581148844 509.65445906586547]
[287.2097633101677 509.60745161937655]
[289.201660668045 509.4276046964626]
[291.1858309061435 509.17647033751473]
[293.16272964367846 508.87336741517186]
[295.15127037213466 508.65957833389996]
[297.1190521333438 508.30203820992415]
[299.0488641690567 507.7768472857664]
[301.0131710561479 507.4006844841416]
[302.9562061531446 506.9267492440098]
[304.9203998255352 506.54999572068095]
[306.90880492758725 506.3349488650117]
[308.8853402035856 506.0294847873622]
[310.8651601449588 505.7460893044391]
[312.84758478100804 505.48152822947736]
[314.8416100289731 505.3270506891106]
[316.8246625361632 505.0672377684791]
[318.8146438700656 504.8673020520099]
[320.813962074064 504.81508405549243]
[322.8125426371327 504.73974659519524]
[324.81076472295916 504.8240584906522]
[326.80422254469187 504.98569361360717]
[328.8042135516484 504.9796959396389]
[330.80421313697326 504.98098384511843]
[332.801943790749 505.07623212575845]
[334.80020603988265 505.1595866918441]
[336.7868540357029 505.39030240588113]
[338.77340295534333 505.6218696528649]
[340.74134761960767 505.97851204854123]
[342.73127568847025 506.1789772094867]
[344.7285249642236 506.2838358309863]
[346.7147770585622 506.5179354203394]
[348.7084582131433 506.67679212894336]
[350.69728662851077 506.88788815976034]
[352.68144367301494 507.13912673710195]
[354.67263760954637 507.326601287696]
[356.6685453647722 507.45447713619535]
[358.6599442839061 507.63976163331347]
[360.6496493173973 507.84242855143214]
[362.616461321861 508.2052653454558]
[364.5783635112327 508.5937750613426]
[366.5303730856289 509.0292731916087]
[368.5088257137142 509.3220618498974]
[370.47264953245195 509.7007385047866]
[372.4234845892883 510.1414681055833]
[374.34913272072976 510.68172663062103]
[376.2663442407665 511.2512000605882]
[378.08900667859876 510.42785223754163]
[379.95021272474884 509.6957920939916]
[381.81808168947447 508.980903619742]
[383.6452143080117 508.1675240070904]
[385.4498974471816 507.3054806397382]
[387.2775465324435 506.49326218319993]
[389.1619606500819 505.823199922477]
[391.0632910463626 505.2027623960662]
[392.9647216608883 504.5826320725497]
[394.8653944788054 503.9601830069781]
[396.8474584941069 503.69293361175517]
[398.8472137675781 503.6616470935094]
[400.8078332052849 504.0565792655166]
[402.7608639131258 504.48747490744245]
[404.6818104502168 505.0442193745348]
[406.63960375040057 505.452931245852]
[408.5506224644262 506.0428528293219]
[410.44081253847315 506.69644405017357]
[412.38196779936646 507.1780208904663]
[414.28821905199226 507.78317059249275]
[416.2066185259387 508.34862921906245]
[418.08518934887815 509.03490297143867]
[419.96092500431456 509.7288883826143]
[421.83678260136566 510.42254411537044]
[423.7305397385315 511.06572675306643]
[424.6956593624018 511.3275360569892]
[426.5259476128887 510.5212824243588]
[428.318824523585 509.63494592895086]
[430.0820949191883 508.6910828499033]
[431.8643584665276 507.7835936500637]
[433.5976626546229 506.785767717583]
[435.33966236429455 505.80320117454175]
[437.1306975470126 504.9131489433406]
[438.8747322891925 503.9341990886138]
[440.6490516231346 503.0112739013971]
[442.39920467176523 502.0433047353754]
[444.1514972137119 501.0792140511354]
[445.90042216645304 500.10902772383565]
[447.6840049211496 499.2041340520991]
[449.53393696016417 498.4440344197958]
[451.3226007866758 497.5492262192697]
[453.16299295355384 496.7663107244083]
[455.0633084759047 496.1427716995572]
[456.97445432619236 495.55326212463206]
[458.9160348498742 495.07340269723784]
[460.882325849067 494.7077529926113]
[462.8334686798671 494.2683879350367]
[464.7453199527798 493.68117016430585]
[466.6261706113829 493.00116957604723]
[468.49484498397806 492.28838904235795]
[470.32570314414374 491.4834304115236]
[472.0843834134246 490.53104198738026]
[473.81045513519007 489.52075667553925]
[475.5926974055884 488.6132256900597]
[477.4226797075503 487.80627787606795]
[479.2993057419932 487.11470378253114]
[481.195892806261 486.47991444136994]
[483.10547030165765 485.8853441855764]
[485.0080103934956 485.26862609848206]
[486.92887363817147 484.7115943262702]
[488.8691422199487 484.22645740686664]
[490.8021593757436 483.7131887877183]
[492.7398153771451 483.21772010027917]
[494.63674093454574 482.58394298671317]
[496.573275298421 482.0841083565301]
[498.468603691177 481.44557074321926]
[500.27590258781106 480.58902494863185]
[502.0482965689133 479.6624076728633]
[503.78420392350927 478.6691173546483]
[505.4960876828767 477.6349732668085]
[507.2688440189546 476.70904941848414]
[509.017254833013 475.73793684762336]
[510.62158863465515 474.5437370934329]
[511.08094951624 472.5972048998975]
[510.25492592457147 470.775753548363]
[509.31457423715176 469.0106080291588]
[508.3899383974622 467.2371795518975]
[507.420946981409 465.4875922761049]
[306.81146233288393 131.61411090877826]
[308.67300071208683 132.34532555767058]
[310.4845705767399 133.1928010000764]
[312.29223336334417 134.04857857043342]
[314.08737172728 134.9303258439339]
[315.90442372726636 135.76598248954]
[317.6492390776182 136.74354036157447]
[319.43397208011265 137.64616326722617]
[321.2482989110556 138.48772024718673]
[323.0088244262457 139.43669332918873]
[324.8274248221153 140.26897489220866]
[326.56379164406223 141.26146179874283]
[328.4148095950396 142.01891314712068]
[330.32233865510887 142.62002285839768]
[332.2382050068393 143.1940055430732]
[334.1735062521625 143.69859358281488]
[336.03531769325036 144.42911268443683]
[337.97099397401234 144.9322601142181]
[339.89304635437804 145.48517479762822]
[341.85155117919896 145.8904633999267]
[343.8150220493583 146.270965886168]
[345.77807326380855 146.65362752449252]
[347.7564849082804 146.94669298649407]
[349.71493268441213 147.3522571715064]
[351.6732426743538 147.75848615040243]
[353.6056820309526 148.27392589767473]
[355.5640926725979 148.67966936181242]
[357.4950311986888 149.2007033419499]
[359.3589156113285 149.92591703205719]
[361.1709299484985 150.77244171680664]
[363.0672364979873 151.40806854944188]
[364.9685192143223 152.0286521719825]
[366.8581357244235 152.68389979292655]
[368.7718818355288 153.26491254857777]
[370.67525587879777 153.87905198829]
[372.6106262302901 154.3833749032605]
[374.5748680554225 154.75987729687895]
[376.4905178588099 155.3345822914474]
[378.39776648798545 155.9365811838949]
[380.30579668460166 156.5360982969123]
[382.25054604975264 157.00294935104492]
[384.2288400732683 157.29680774640266]
[386.20992150921404 157.57124598016654]
[388.17396139735786 157.94880037065863]
[390.1537202419913 158.2326223520055]
[392.14071712456405 158.46031378497142]
[394.08708669204236 158.92036324621913]
[395.9900512188003 159.5357704365417]
[397.81557953758704 160.35274433900597]
[399.58521837438786 161.28461256321273]
[401.3129219359056 162.29210469892357]
[403.0729860870846 163.24193320119898]
[404.87247161090056 164.11477445227317]
[406.6683918961712 164.99492803486729]
[408.5293591692471 165.72759495000705]
[410.40375860461995 166.42518132937076]
[412.2573368085997 167.17634565342465]
[414.00013181052964 168.15750088133106]
[415.6622735251743 169.2698339791206]
[417.16727607097596 170.58701556763847]
[418.60058709593875 171.98187022161503]
[419.96258229499676 173.44644151648012]
[421.2665836894596 174.96287824883623]
[422.4620283643069 176.56628463194042]
[423.4559758982906 178.3018157609288]
[424.5921085207101 179.94778133294855]
[425.75468806514766 181.57517458685354]
[426.78794147409224 183.28759608663225]
[427.8533943899944 184.98017107285753]
[428.83886581597096 186.72052910170785]
[429.99306541351336 188.3538763669986]
[431.22105374126284 189.93249749536065]
[432.62885492076407 191.3530944962708]
[434.18544347028535 192.60889387813856]
[435.7019137442463 193.91285626570684]
[437.3663131111051 195.02180836007338]
[439.02702439879295 196.13627595446368]
[440.59063367779663 197.3833228752384]
[442.2586108759905 198.48688622471386]
[443.8205044982574 199.73608129063504]
[445.21717839721805 201.1676196310095]
[446.7512671004432 202.45080778971302]
[448.27616618378283 203.744903143862]
[449.8666730935654 204.95745737767336]
[451.2313526669369 206.4195277118305]
[452.54429242782635 207.9282321839772]
[453.7522298774677 209.52224821832377]
[454.90058176669834 211.15971209227658]
[456.09781065630614 212.76178668039304]
[457.17764999483256 214.44521978062923]
[458.20328400929486 216.162215665417]
[459.39369662675665 217.7693615207107]
[460.4234046332457 219.4839172711523]
[461.57525827853294 221.11891977263005]
[462.688350032661 222.78055353098117]
[463.962843504372 224.32187322220872]
[465.1590902381173 225.92468130554366]
[466.5539663904741 227.35797140862334]
[467.820483606685 228.90585194052537]
[469.06057690981027 230.47498182665456]
[470.09647755747824 232.18580322240607]
[471.30272934601646 233.78109524039164]
[472.455349766307 235.41555728238873]
[473.7799748040784 236.91401265686912]
[474.5141795587656 238.77437374499007]
[474.83733643228857 240.748093490824]
[474.623079050932 242.73658381630568]
[474.01744900590086 244.64268251484035]
[473.2092113710697 246.47209551513382]
[472.33715287683924 248.27196050524853]
[471.3456651366797 250.0088980576992]
[470.30185557788184 251.71490556206786]
