20
150
[215.77698379566343 345.2799313655941]
[216.85993423800042 343.5984979475124]
[217.91764542815278 341.90107430026734]
[218.77997359264535 340.0965272278076]
[219.933389115778 338.4626261809272]
[221.14443880248515 336.8709733744626]
[222.49984355654564 335.4003007553287]
[223.77927466866382 333.863077274717]
[224.95078519992543 332.24210131093986]
[225.82111568902238 330.4414001031466]
[226.8749290457118 328.7415538132536]
[227.76264500891992 326.9493595244931]
[228.395261698596 325.0520466552111]
[229.14372587476325 323.1973765020587]
[229.91759605072477 321.3531625907248]
[230.6697539789159 319.49998735587536]
[231.33197556563758 317.61280358896767]
[231.789814129677 315.66591277300535]
[232.3740837129104 313.7531584620421]
[233.1741092953736 311.92013934937455]
[234.2462278083884 310.2317786373076]
[235.06181931718803 308.4056322875388]
[235.7830032363108 306.54018495384145]
[236.47161836299173 304.6624711291849]
[237.17469918097405 302.7901257114307]
[237.86984100515255 300.91481831148855]
[238.83003049380076 299.160385028092]
[239.65572960714505 297.33878656129906]
[240.36096861679974 295.46725298178166]
[241.07331534810552 293.5984131988152]
[241.58066201942378 291.6638333077013]
[242.11585048722932 289.7367699190376]
[242.9824227674704 287.93425709436264]
[243.9309808388584 286.17350793982513]
[244.64288948345003 284.3045012298972]
[245.21872986403648 282.38919241508796]
[245.63457958397694 280.4329028121852]
[246.30256320240287 278.5477508592873]
[247.05946808591497 276.69650938467754]
[248.04761957971593 274.95767166214597]
[248.90123069199333 273.1489848266223]
[249.33381132772845 271.19632664005024]
[249.80163016647262 269.2518098532582]
[250.06032855189906 267.26861164193946]
[250.63903215027167 265.3541659923504]
[251.1338594260761 263.4163460917611]
[251.74019691585082 261.510472316168]
[252.55893094055054 259.6857327191846]
[13.3078372513856 427.39530563482685]
[13.721032356731083 429.3521576488838]
[14.020450783524222 431.329617788987]
[14.476877780388932 433.2768400147571]
[14.915717538800454 435.2281010599372]
[15.474812077129034 437.14836492128836]
[15.956372886281272 439.0895241592409]
[16.3896511307834 441.0420276708488]
[16.6613175739612 443.0234911056997]
[16.936057068445933 445.00453078480007]
[17.308998610828482 446.9694518025424]
[17.752389051864718 448.91968381868753]
[18.294778006036857 450.84473296673343]
[18.748203016806528 452.79265641482084]
[19.265369103849203 454.7246344784678]
[19.68047012270288 456.6810830835036]
[20.022485851922575 458.6516224109382]
[20.281725715584912 460.6347499139214]
[20.662468013365412 462.59817429562816]
[20.984304003320965 464.5721098557641]
[21.163069327151803 466.5641045743805]
[21.22235406185453 468.5632257113383]
[21.271527304891194 470.5626211179973]
[21.308307267629182 472.56228289798435]
[21.481715511457196 474.55475111127475]
[21.6968002470771 476.54315211622907]
[21.89327578887771 478.53347805975545]
[22.075606173707627 480.5251496267483]
[22.23622245936111 482.51868979659264]
[22.319697661321072 484.51694700993073]
[22.257744716575594 486.51598723779944]
[22.25553804963259 488.5159860204543]
[22.29636867921711 490.5155691919398]
[22.48424254708305 492.50672549162425]
[22.536010478160648 494.5060553996965]
[22.7092290934349 496.4985401076234]
[22.70842340126697 498.4985399453384]
[22.753645917311594 500.4980286109833]
[22.654534603317217 502.4955713382956]
[22.7218521226932 504.49443810513753]
[22.85528274286812 506.48998220878434]
[22.928978135995266 508.4886239948561]
[22.97433510232159 510.48810961511083]
[24.932063622493978 510.89713166989964]
[26.910755861730806 511.1882966100692]
[27.890496526983092 511.3885669994207]
[29.67786503489529 510.4911742108806]
[31.493602747612073 509.65266567865325]
[33.269001915712735 508.73181944072456]
[35.07259286899705 507.8674933024926]
[36.89934221365024 507.0532532692045]
[38.778898083536475 506.36968196204174]
[40.59893504793804 505.54054660022683]
[42.45889456551538 504.80532514177133]
[44.297857770744514 504.0190590736917]
[46.06369691968193 503.08001056584993]
[47.8237710178599 502.13020049592905]
[49.58627067703564 501.1848989824396]
[51.29291238555497 500.1421266780787]
[52.92831773777658 498.9908450731162]
[54.57011505138486 497.8486972801276]
[56.21548379542256 496.7117004920303]
[57.949901598972275 495.71581150086223]
[59.71698051176206 494.77909803561596]
[61.55410126458986 493.9885366277991]
[63.34557929048469 493.0993760783279]
[65.19239422893756 492.33173385495337]
[67.07960594778893 491.66959193041606]
[69.00306288077445 491.1215833292519]
[70.932560555852 490.59523864953127]
