=========== Grouping Data =============
---- Parameters: 
epsilon = 10.0
delta   = 3.5
m       = 3
---- Groups: 
"Group {3,22,180,211,213,293} on [0.00,22.40]"
"Group {271,44,3,22,213,293} on [18.77,28.48]"
"Group {34,218,261,278,153,172} on [13.51,22.98]"
"Group {123,132,159,243,282,287} on [0.00,3.65]"
"Group {86,121,123,132,282,287} on [0.00,4.01]"
"Group {30,86,123,132,282,287} on [0.00,5.70]"
"Group {141,236,241,49,136,146} on [12.94,26.44]"
"Group {132,222,121,282,287,252} on [41.20,45.86]"
"Group {30,86,123,119,122,189} on [7.99,20.80]"
"Group {34,218,261,278,172,153} on [23.10,27.05]"
"Group {281,67,218,261,278,172} on [24.95,38.34]"
"Group {281,67,212,139,232,116} on [43.03,59.70]"
"Group {123,72,284,185,299,186} on [41.37,54.98]"
"Group {76,72,284,185,299,186} on [55.09,65.64]"
"Group {115,207,33,49,136,146} on [27.35,49.24]"
"Group {81,115,207,49,136,146} on [31.89,50.26]"
"Group {49,136,8,60,180,211} on [62.09,70.23]"
"Group {280,151,80,145,77,98} on [44.28,54.23]"
"Group {46,240,271,4,36,37} on [57.84,67.91]"
"Group {39,42,54,120,175,277} on [0.00,4.22]"
"Group {35,39,42,54,120,175} on [0.00,4.90]"
"Group {19,35,39,54,120,175} on [0.00,13.37]"
"Group {19,121,282,287,265,159} on [62.97,66.96]"
"Group {39,120,143,251,100,209} on [16.06,29.59]"
"Group {120,187,138,127,135,276} on [54.49,60.21]"
"Group {75,202,210,275,279,84} on [7.65,11.27]"
"Group {38,142,206,129,181,154} on [15.17,24.83]"
"Group {6,155,270,196,173,91} on [19.37,23.19]"
"Group {17,25,65,112,134,288} on [0.00,3.80]"
"Group {140,58,165,229,128,250} on [29.51,34.53]"
"Group {140,148,117,58,165,229} on [44.28,50.74]"
"Group {1,144,114,162,94,158} on [22.36,32.60]"
"Group {154,6,155,270,174,260} on [35.41,48.54]"
"Group {38,154,155,270,174,260} on [38.16,49.82]"
"Group {194,290,16,88,103,12} on [28.25,45.25]"
"Group {196,16,88,103,12,173} on [41.91,58.47]"
"Group {114,162,219,225,147,233} on [109.07,116.15]"
"Group {196,16,88,103,12,178} on [47.37,78.38]"
"Group {16,88,103,12,178,1} on [49.66,109.30]"
"Group {84,16,88,103,12,154} on [86.58,115.18]"
"Group {266,16,88,103,12,154} on [111.28,129.93]"
"Group {266,16,88,12,154,178} on [117.28,134.60]"
"Group {139,232,116,188,29,296} on [46.57,68.55]"
"Group {65,69,281,67,153,256} on [69.72,83.27]"
"Group {65,69,281,67,256,288} on [72.12,83.65]"
"Group {281,164,205,148,250,67} on [102.65,109.86]"
"Group {21,118,228,17,112,134} on [80.00,135.40]"
"Group {17,112,134,58,165,229} on [127.92,149.00]"
"Group {280,80,145,77,98,150} on [49.44,62.41]"
"Group {245,77,98,151,59,221} on [62.15,73.66]"
"Group {197,101,26,89,161,262} on [86.13,91.74]"
"Group {89,45,172,218,261,278} on [96.74,100.77]"
"Group {14,41,156,190,231,51} on [106.21,114.84]"
"Group {231,51,77,98,106,76} on [114.36,122.84]"
"Group {221,77,98,106,51,280} on [141.16,149.00]"
"Group {14,41,156,190,68,271} on [116.46,124.12]"
"Group {144,38,174,10,169,260} on [81.43,91.08]"
"Group {144,38,174,10,169,177} on [85.35,91.82]"
"Group {125,66,78,195,199,24} on [19.68,37.16]"
"Group {53,40,75,202,210,275} on [20.76,34.42]"
"Group {53,40,202,210,275,152} on [29.63,40.51]"
"Group {125,230,32,113,257,259} on [37.60,85.03]"
"Group {105,110,289,15,170,184} on [43.21,52.07]"
"Group {253,202,210,275,170,184} on [50.83,60.70]"
